governate,area,lat,lng,services,cluster_cairo
Cairo,Al Maadi,29.971554,31.271726,1.0,8
Cairo,Al Maadi,29.96644034,31.26888189,1.0,8
Cairo,Al Maadi,29.967786,31.253003,1.0,8
Cairo,Al Maadi,29.960061,31.251618,1.0,8
Cairo,Al Maadi,29.965403,31.26983,1.0,8
Cairo,Al Maadi,29.980378,31.325083,1.0,20
Cairo,Al Maadi,29.96171,31.278464,1.0,8
Cairo,Al Maadi,29.969502,31.252498,1.0,8
Cairo,Al Maadi,29.98208,31.288985,1.0,20
Cairo,Al Maadi,29.98953377,31.2774416,1.0,20
Cairo,Al Maadi,29.95686042,31.26088545,3.0,8
Cairo,Al Maadi,29.96832582,31.27763917,1.0,8
Cairo,Al Maadi,29.977781,31.28472238,3.0,8
Cairo,Al Maadi,29.97608444,31.23443557,3.0,27
Cairo,Al Maadi,29.97646806,31.28957709,1.0,20
Cairo,Al Maadi,29.95880352,31.25949339,3.0,8
Cairo,Al Maadi,29.960939,31.25311,1.0,8
Cairo,Al Maadi,29.961697,31.249657,1.0,8
Cairo,Al Maadi,29.96043,31.257734,1.0,8
Cairo,Al Maadi,29.952874,31.263427,1.0,8
Cairo,Al Maadi,29.970227,31.250617,1.0,8
Cairo,Al Maadi,29.953772,31.267502,3.0,8
Cairo,Al Maadi,29.959583,31.258724,1.0,8
Cairo,Al Maadi,29.967577,31.240559,1.0,8
Cairo,Al Maadi,29.948692,31.265973,1.0,8
Cairo,Al Maadi,29.949794,31.264325,1.0,8
Cairo,Al Maadi,29.956931,31.256727,1.0,8
Cairo,Al Maadi,29.964489,31.263617,1.0,8
Cairo,Al Maadi,29.96499152,31.2389503,3.0,8
Cairo,Al Maadi,29.96905514,31.25998851,1.0,8
Cairo,Al Maadi,29.98246694,31.27423415,3.0,8
Cairo,Al Maadi,29.96791799,31.28742034,3.0,8
Cairo,Al Maadi,29.970227,31.250617,1.0,8
Cairo,Al Maadi,29.96043,31.257734,1.0,8
Cairo,Al Maadi,29.960061,31.251618,2.0,8
Cairo,Al Maadi,29.969502,31.252498,1.0,8
Cairo,Al Maadi,29.965403,31.26983,2.0,8
Cairo,Al Maadi,29.987265,31.304763,2.0,20
Cairo,Al Maadi,29.967786,31.253003,2.0,8
Cairo,Al Maadi,29.980378,31.325083,2.0,20
Cairo,Al Maadi,29.96056736,31.28963342,3.0,8
Cairo,Al Maadi,29.952874,31.263427,1.0,8
Cairo,Al Maadi,29.959583,31.258724,2.0,8
Cairo,Al Maadi,29.960939,31.25311,2.0,8
Cairo,Al Moski,30.04797311,31.25615143,1.0,25
Cairo,Al Moski,30.05112925,31.25004762,3.0,1
Cairo,Al Moski,30.052356,31.246894,1.0,1
Cairo,Al Moski,30.052356,31.246894,2.0,1
Cairo,Al Qatameya,29.995565,31.405084,3.0,9
Cairo,Al Qatameya,30.016703,31.41206,3.0,23
Cairo,Al Qatameya,29.981949,31.426192,1.0,23
Cairo,Al Qatameya,29.995753,31.405344,1.0,9
Cairo,Al Qatameya,29.971479,31.399367,1.0,9
Cairo,Al Qatameya,29.981949,31.426192,2.0,23
Cairo,Al Qatameya,29.971479,31.399367,3.0,9
Cairo,Al Qatameya,29.995753,31.405344,1.0,9
Cairo,Al Qatameya,29.995565,31.405084,3.0,9
Cairo,Al Salam City,30.158873,31.412884,1.0,0
Cairo,Al Salam City,30.144612,31.397074,1.0,0
Cairo,Al Salam City,30.13280608,31.37776844,1.0,5
Cairo,Al Salam City,30.143519,31.40439,1.0,0
Cairo,Al Salam City,30.134823,31.383991,1.0,0
Cairo,Al Salam City,30.177462,31.419407,1.0,0
Cairo,Al Salam City,30.169398,31.457406,1.0,18
Cairo,Al Salam City,30.16820294,31.4104506,3.0,0
Cairo,Al Salam City,30.166652,31.42157,1.0,0
Cairo,Al Salam City,30.166663,31.42156,1.0,0
Cairo,Al Salam City,30.152715,31.429644,1.0,0
Cairo,Al Salam City,30.13797641,31.37923632,1.0,0
Cairo,Al Salam City,30.15908773,31.41264909,1.0,0
Cairo,Al Salam City,30.16967358,31.40938496,1.0,0
Cairo,Al Salam City,30.14963273,31.42039277,1.0,0
Cairo,Al Salam City,30.13054974,31.36627958,2.0,5
Cairo,Al Salam City,30.143519,31.40439,1.0,0
Cairo,Al Salam City,30.134823,31.383991,3.0,0
Cairo,Al Salam City,30.158873,31.412884,2.0,0
Cairo,Al Salam City,30.169398,31.457406,2.0,18
Cairo,Al Salam City,30.144612,31.397074,2.0,0
Cairo,Al Salam City,30.166652,31.42157,1.0,0
Cairo,Al Salam City,30.152715,31.429644,1.0,0
Cairo,Al Salam City,30.166663,31.42156,2.0,0
Cairo,Al Salam City,30.157614,31.408182,3.0,0
Cairo,Al Salam City,30.136217,31.362583,3.0,22
Cairo,Al Salam City,30.177462,31.419407,1.0,0
Cairo,Al Shorouk City,30.16408011,31.61181357,1.0,17
Cairo,Al Shorouk City,30.166049,31.603177,1.0,17
Cairo,Al Shorouk City,30.155149,31.612069,1.0,17
Cairo,Al Shorouk City,30.15987339,31.59592079,1.0,17
Cairo,Al Shorouk City,30.165347,31.556009,1.0,17
Cairo,Al Shorouk City,30.169095,31.596939,1.0,17
Cairo,Al Shorouk City,30.15894052,31.47104474,1.0,18
Cairo,Al Shorouk City,30.161151,31.603932,1.0,17
Cairo,Al Shorouk City,30.158948,31.470908,1.0,18
Cairo,Al Shorouk City,30.16440044,31.56288424,3.0,17
Cairo,Al Shorouk City,30.166049,31.603177,1.0,17
Cairo,Al Shorouk City,30.1592581,31.4709688,3.0,18
Cairo,Al Shorouk City,30.11455988,31.60703108,3.0,3
Cairo,Al Shorouk City,30.16437189,31.65150509,3.0,17
Cairo,Al Shorouk City,30.15653586,31.65851567,3.0,17
