governate,area,lat,lng,services
Al-Behera,Shabrakhiet,31.027458,30.704211,1.0
Al-Behera,Shabrakhiet,31.027977,30.711581,2.0
Al-Behera,Shabrakhiet,31.024659,30.607641,2.0
Al-Behera,Shabrakhiet,31.027458,30.704211,2.0
Al-Behera,Shabrakhiet,30.98201643,30.6542905,3.0
Al-Behera,Shabrakhiet,31.02393382,30.60350721,3.0
Al-Behera,Shabrakhiet,31.05305248,30.69924925,3.0
Al-Behera,Shabrakhiet,31.02893672,30.71354872,2.0
Al-Behera,Wady Elnatroon,30.39891243,30.36785316,3.0
Al-Behera,Wady Elnatroon,30.395427,30.37151,1.0
Al-Behera,Wady Elnatroon,30.39499563,30.37081886,3.0
Al-Behera,Wady Elnatroon,30.395427,30.37151,1.0
Al-Fayoum,Abshaway,29.370735,30.688374,1.0
Al-Fayoum,Abshaway,29.36074053,30.68325785,3.0
Al-Fayoum,Abshaway,29.370735,30.688374,1.0
Al-Fayoum,Abshaway,29.392268,30.711708,3.0
Al-Fayoum,Al Fayoum,29.30441208,30.85354564,3.0
Al-Fayoum,Al Fayoum,29.319696,30.835641,1.0
Al-Fayoum,Al Fayoum,29.308199,30.842229,1.0
Al-Fayoum,Al Fayoum,29.30772267,30.84613982,1.0
Al-Fayoum,Al Fayoum,29.31542035,30.85217852,1.0
Al-Fayoum,Al Fayoum,29.321487,30.837896,1.0
Al-Fayoum,Al Fayoum,29.322145,30.837087,1.0
Al-Fayoum,Al Fayoum,29.308889,30.847499,1.0
Al-Fayoum,Al Fayoum,29.304818,30.84385,1.0
Al-Fayoum,Al Fayoum,29.319011,30.851452,1.0
Al-Fayoum,Al Fayoum,29.47427641,30.9549612,1.0
Al-Fayoum,Al Fayoum,29.30973607,30.84764079,3.0
Al-Fayoum,Al Fayoum,29.3029927,30.85296321,3.0
Al-Fayoum,Al Fayoum,29.20959358,30.9713821,3.0
Al-Fayoum,Al Fayoum,29.3524194,30.96981294,3.0
Al-Fayoum,Al Fayoum,29.308889,30.847499,3.0
Al-Fayoum,Al Fayoum,29.308199,30.842229,3.0
Al-Fayoum,Al Fayoum,29.322145,30.837087,3.0
Al-Fayoum,Al Fayoum,29.319696,30.835641,3.0
Al-Fayoum,Al Fayoum,29.319011,30.851452,3.0
Al-Fayoum,Al Fayoum,29.319011,30.851452,1.0
Al-Fayoum,Al Fayoum,29.304818,30.84385,1.0
Al-Fayoum,Al Fayoum,29.309145,30.85801,3.0
Al-Fayoum,Al Fayoum,29.302496,30.838588,3.0
Al-Fayoum,Al Fayoum,29.310744,30.85621,3.0
Al-Fayoum,Atsa,29.23696578,30.79019445,3.0
