id,name,address,governate,area,lat,lng,services
1324e21d-14ad-4c09-aaa7-ae027f2036d4,Gomla Market Company - Sporting Alexandria,178 Port Said St. - section Bab Sharq - Alexandria,Alexandria,Sporting,31.217849,29.928639,"Cash Dispenser only
"
71552886-acc8-42de-9565-ca433e9c1349,Khir Zaman Sporting,26 Delta St. - 21 Bab Sharq Organization - Sporting - Alexandria,Alexandria,Sporting,31.220355,29.931113,"Cash Dispenser only
"
23a99e54-dd7d-41d6-840d-21a8647c05a6,Victoria,22 Almithaq St. ( Aliqbal Before) Shop No. 2,Alexandria,Victoria,31.24996,29.975313,Withdrawal -Deposit – Forex
acf5c29a-f39a-431c-8982-c06199492f8d,Super Franchise Aliqbal St.,22 Almithaq St. ( Aliqbal Before) Shop No. 2,Alexandria,Victoria,31.24996,29.975313,"Full Function
"
a5b953b4-b427-494f-8b7f-6545ff4540cb,Super Franchise Aliqbal St.,22 Almithaq St. ( Aliqbal Before) Shop No. 2,Alexandria,Victoria,31.24996,29.975313,"Full Function
"
b9862462-1d22-45eb-9313-eb41c5e7ee2e,Wenget,463 Alhoriea  Road Bolkley ,Alexandria,Wenget,31.229875152,29.954483865,Withdrawal
706d07e6-f8a2-46ce-9695-bfc9893200b4,Wenget,47 Winget St. - Alexandria - Section Sharq,Alexandria,Wenget,31.229026,29.957179,Withdrawal
60701baf-df73-4b49-993e-dde480d7c243,Carrefour - Wenget,"17 in the organization of Ibn El-Nadim Street, Buckley, Wingate, Alexandria",Alexandria,Wenget,31.22942831,29.95654298,withdraw only
bad848e5-6fa7-4c27-85bd-220a8fbc7247,Aman Company Wenget - Alexandria,47 Winget St. - Alexandria - Section Sharq,Alexandria,Wenget,31.229026,29.957179,"Cash Dispenser only
"
ab735fb8-1d14-4070-9000-8e12a2fdd3a3,Abanob,Port Said St. - Beside Abnoub Court,Assiut,Abanob,27.2658259,31.157938791,Withdrawal
f9bccf12-68c4-4679-851d-0f2a1f988233,Abnoub Central,"El Gomhoureya Street, Abnoub - Abnoub - Assiut",Assiut,Abanob,27.264931,31.148626,"withdrawal,deposit"
4294a3a5-59d0-4e81-801b-e85b319151ae,Abou Tig,AlGalaa St. - Abo Teeg - Assiut,Assiut,Abou Tig,27.053101262,31.315953548,Withdrawal -Deposit – Forex
